Name,Region,Zielgruppe,Fördersumme (€),Aufwand,Beispiel-Aufwand,Link,Beschreibung,Typ,Deadline,Logo,Copyright
Digital Jetzt,Bund,KMU,17.000–50.000,3,"Online-Antrag, Nachweise, Beratung nötig",https://www.bmwi.de/Redaktion/DE/Dossier/digital-jetzt.html,"Digitalisierung, KI, Beratung","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"© KI-Sicherheit.jetzt"
go-digital,Bund,KMU,16.500,2,"Kurzberatung, Nachweis, Beratungspartner",https://www.go-digital.de,"Digitalisierung, Beratung, KI","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
INVEST – Zuschuss für Wagniskapital,Bund,Startups/Investoren,bis 1.000.000,3,"Online-Antrag, Nachweis",https://www.bmwi.de/Redaktion/DE/Artikel/Wirtschaft/invest.html,"Innovative Startups, Kapitaleinlage","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
ERP-Digitalisierungs- und Innovationskredit,Bund,KMU,25.000–25 Mio.,4,"Kreditbeantragung, Bonitätsprüfung",https://www.kfw.de/inlandsfoerderung/Unternehmen/Erweitern-Festigen/Digitalisierung-Innovation/ERP-Digitalisierungs-und-Innovationskredit.html,"Förderkredit für Digitalisierung, KI, Innovation","Kredit","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Zukunftsfonds KI,Bund,Startups,>1.000.000,5,"Pitch, VC, Konsortium",https://www.bmwi.de/Redaktion/DE/Dossier/zukunftsfonds.html,"Förderung innovativer KI-Startups, Großprojekte","Kapitaleinstieg/Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."

MID NRW,NRW,KMU,15.000–150.000,2,"Kurzantrag, schnelles Verfahren",https://www.mittelstand-innovativ-digital.nrw/,"Digitalisierung, KI","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
NRW.Bank.Digitalisierung und Innovation,NRW,KMU,10.000–500.000,3,"Kredit, Nachweise",https://www.nrwbank.de/de/foerderlotse-produkte/NRW.BANK.Digitalisierung-und-Innovation.html,"Förderkredit Digitalisierung","Kredit","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Beratungsprogramm Wirtschaft NRW,NRW,KMU,5.000,1,"Antrag, schnelle Bewilligung",https://www.weiterbildungsberatung.nrw/foerderung/beratungsprogramm-wirtschaft.html,"Förderung Beratung/Innovation","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Digitalbonus Bayern,Bayern,KMU,bis 50.000,2,"Kurzantrag, Digitalisierungskonzept",https://www.digitalbonus.bayern/,"Digitalisierung, IT-Sicherheit","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Innovationsgutschein Bayern,Bayern,KMU,5.000–15.000,2,"Kurzantrag, Beratung",https://www.innovationsgutschein-bayern.de/,"Innovationsförderung für kleine Unternehmen","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."

Invest BW,Baden-Württemberg,KMU,1.000.000,4,"Ausführlicher Antrag, Pitch, Bewilligung in Monaten",https://www.investbw.de,"Innovation, Digitalisierung, KI","Zuschuss","mehrere Runden jährlich",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Innovationsgutschein Hightech BW,Baden-Württemberg,KMU,5.000–20.000,2,"Kurzantrag, Beratung",https://www.innovationsgutschein-bw.de/,"Innovationsberatung, Digitalisierung","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Gründungsfinanzierung BW,Baden-Württemberg,Startups,20.000–2 Mio.,3,"Beratung, Antrag, Nachweise",https://www.l-bank.de/produkte/finanzieren/gruendung/innovationsfinanzierung.html,"Gründungsförderung, Innovation","Kredit/Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Innovationsfonds Rheinland-Pfalz,Rheinland-Pfalz,KMU,10.000–100.000,3,"Beratung, Antrag, Nachweise",https://www.innovationsfonds.rlp.de/,"Innovationsförderung für KMU","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Gründungsbonus Berlin,Berlin,Startups,50.000,2,"Kurzantrag, Konzept",https://www.ibb.de/de/foerderprogramme/gruendungsbonus.html,"Förderung innovativer Startups in Berlin","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."

Horizon Europe,EU,KMU,>60.000,5,"Konsortium, Antragsberatung empfohlen",https://ec.europa.eu/info/funding-tenders/opportunities/portal,"EU-Digitalisierung, KI","Zuschuss","jährlich, verschiedene Calls",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
EIC Accelerator,EU,KMU,>500.000,5,"International, komplexer Antrag",https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,"Innovationsförderung für Hightech-KMU","Zuschuss/Kapital","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Digital Europe Programme,EU,KMU/Öffentliche,>50.000,4,"Antrag, Konsortium, Nachweise",https://digital-strategy.ec.europa.eu/en/activities/digital-programme,"Digitale Innovation, KI, Bildung, Verwaltung","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
Eurostars,EU,KMU,75.000–500.000,4,"Konsortium, Forschungspartner",https://www.eurostars-eureka.eu/,"Forschung, Innovation, Digitalisierung","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
CERV – Bürger, Gleichstellung, Rechte und Werte,EU,NPO/KMU,10.000–1 Mio.,3,"Projektantrag, Auswahlrunde",https://cerv.europa.eu/,"Förderung sozialer Innovation/Projekte","Zuschuss","laufend",https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,"..."
