Tool-Name,Branche,Unternehmensgröße,Funktion/Zweck,Link/Website,Aufwand,Beispiel-Aufwand,Kurze Beschreibung,Kompatibilität/Integration,Logo,Copyright
Canva,Marketing & Werbung,alle,Design & Content Creation,https://www.canva.com,1,Anmeldung, sofort nutzbar,Social-Media-Grafiken & Präsentationen,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Writesonic,Marketing & Werbung,alle,KI-Textgenerator,https://writesonic.com,2,Registrierung, Einführung,Texterstellung für Kampagnen,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
AdCreative.ai,Marketing & Werbung,KMU,KI-Banner & Werbeanzeigen,https://www.adcreative.ai,2,Einarbeitung, erste Ergebnisse sofort,Werbebanner automatisch generieren,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Buffer,Marketing & Werbung,alle,Social Media Automation,https://buffer.com,1,Registrierung, erste Kanäle verbinden,Geplantes, automatisiertes Posting,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Brandwatch,Marketing & Werbung,KMU,Social Listening & Analyse,https://www.brandwatch.com,3,Onboarding, Training,Social-Media-Analyse mit KI,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

Asana,Beratung & Dienstleistungen,alle,Projektmanagement,https://asana.com,1,Account, direkt nutzbar,Projekte und Aufgaben digital steuern,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Miro,Beratung & Dienstleistungen,alle,Online-Whiteboard & KI-Brainstorming,https://miro.com,2,Registrierung, Onboarding,Visuelles Brainstorming & KI-Funktionen,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Zapier,Beratung & Dienstleistungen,alle,Automatisierung,https://zapier.com,2,Account, erster Workflow,Workflows mit KI-Anbindung,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Jasper,Beratung & Dienstleistungen,alle,KI-Content & Text,https://www.jasper.ai,2,Registrierung, Einführung,Texte, Angebote & Reports mit KI,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Notion,Beratung & Dienstleistungen,alle,Consulting-Wissensmanagement,https://notion.so,1,Registrierung, sofort,Projekte, Checklisten & Beratungsdoku,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

GitHub Copilot,IT & Software,alle,KI-Codeunterstützung,https://github.com/features/copilot,2,Installation, Integration,KI-Code-Vervollständigung,VSCode,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Dataiku,IT & Software,KMU,KI-Prozessanalyse,https://dataiku.com,3,Einrichtung, Datenimport,KI-getriebene Analyse & Automatisierung,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Slack,IT & Software,alle,Team-Kommunikation,https://slack.com,1,Registrierung, sofort,Chat, Teamarbeit, Integrationen,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Tableau,IT & Software,alle,Datenvisualisierung,https://tableau.com,2,Datenimport, Schulung,Dashboards & Berichte,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
n8n,IT & Software,KMU,No-Code Automatisierung,https://n8n.io,2,Deployment, Workflow bauen,Automatisierte Workflows,Web/Cloud/Self-Hosted,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

Planerio,Handwerk,KMU,Schichtplanung & Disposition,https://www.planerio.de,2,Import Mitarbeiter, Einrichtung,Automatisierte Einsatzplanung,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Meisterwerk,Handwerk,KMU,Auftragsverwaltung,https://meisterwerk.app,1,Account, Stammdaten anlegen,Digitale Baustellenakte,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
OpenAI-Tabellen,Handwerk,KMU,Kalkulation & Angebot,https://platform.openai.com,2,Einarbeitung, Vorlage laden,KI-gestützte Angebotskalkulation,Web/CSV,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Sage,Handwerk,alle,Buchhaltung & Rechnungswesen,https://www.sage.com,2,Registrierung, Datenimport,Buchhaltung und Lohn digitalisieren,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
JobRouter,Handwerk,KMU,Workflow-Automatisierung,https://jobrouter.com,3,Setup, Onboarding,Digitale Workflows von Angebot bis Abnahme,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

